wrk, work
slp, sleep
kmz, kommunizieren
szl, mit anderen Menschen Famile/Kollegen/Freunde im direkten Kontakt
cok, kochen
esn, essen
rad, Fahrrad
ghn, gehen
spt, Sport
hbl, Handball
bwt, BodyWeightTraining
fnz, finanzen
gtd, GTD
ham, home automation
fos, open source projects
cde, code
lsn, lesen
tvl, Travel (ghn/rad/bhn und sonstiges)
bhn, bahn
cfg, konfigurieren
ipa, am IPA
azt, Arzt
rch, recherche   (produktiv)
sfn, surfen (unproduktiv) 
lrn, lernen
tax, Steuern
rtn, routines
msa, MSA/Paper
tnk, think
tvy, TV Youtube
qsa, Quantified Self
ttm, Tagtime
cln, chillen
whn, Wohnungssuche oder Reparieren oder so
hsh, Haushalt (Wäsche etc)
hlp, anderen Leuten helfen
->ipa, auf dem Weg ans IPA
pty, party
buy, einkaufen
sln, spielen
rpr, reparieren
OFF, Handy aus
RET, RETRO
off, pc aus
wtn, warten
bsp, besprechung
sex, sex
sbp, SB/Porn
pdc, Podcast/Hörbuch
brk, Pause
bad, alles im Bad
ank, Anki
fml, Family
afk, afk
RETRO, RETRO
tst, testing
tsk, Tasker
wrt, write
gsk, geschenke
bld, bildung talks
fsr, friseur
tva, TV alone
